Date,Year,Month,Day,Start Time,End Time,Duration,MaxPfu,Region,Location,Flare Maximum (UTC),Type IIRadio Emission,Type IV,Linear Speed,Imagery/Misc
8/1/2000,2000,8,1,13:10,9:00,19:50,84,9026,N21E12,"X2/3B  
        06/06 1525",Yes,Yes,"1119  
        km/s",C2
12/1/1999,2000,0,1,2:25,20:45,18:20,46,9026,N22W38,"M5/3B  
        06/10 1702",Yes,Yes,"1108  
        km/s",C2
5/1/2000,2000,5,1,10:45,12:30,1:45,"24,000",9077,N22W07,"X5/3B  
        07/14 1024",Yes,Yes,"1674  
        km/s",C2EIT
2/2/2000,2000,2,2,13:20,14:50,1:30,17,9085,N15W56,"M3/2N  
        07/22 1114",Yes,Yes,"1230  
        km/s",C2
8/2/2000,2000,8,2,4:00,17:50,13:50,21,N/A,N00W120,N/A,No,No,"905  
        km/s",C2
1/1/2000,2000,1,1,16:50,16:55,0:05,17,9114,N11W10,"C2/SF  
        08/09 1647",No,No,702 km/s,C2
3/1/2000,2000,3,1,2:05,10:00,7:55,321,9163,S19W08,"M1/2F  
        09/12 1213",Yes,No,"1550  
        km/s",C2
6/1/2000,2000,6,1,11:10,18:40,7:30,15,9182,N02W90,"M2/N/A  
        10/16 1139",Yes,Yes,"1336  
        km/s",C2
6/2/2000,2000,6,2,16:00,10:00,18:00,15,9182,N02W90,"C4/N/A  
        10/25 1125",No,No,"770  
        km/s",C2
9/1/2000,2000,9,1,23:50,15:55,16:05,"14,800",9213,N10W77,"M7/3F  
        11/08 2328",No,Yes,"1738  
        km/s",C2EIT
4/2/2000,2000,4,2,16:00,21:20,5:20,93,9236,N22W07,"X2/2B  
        11/24 1513",Yes,No,"1245  
        km/s",C2
6/2/2000,2000,6,2,23:40,17:15,17:35,591,9240,N07E50,"M8/2N  
        11/25 0131",Yes,Yes,"2519  
        km/s",C2
6/2/2000,2000,6,2,18:45,20:30,1:45,942,9236,N21W33,"X4/2B  
        11/26 1648",Yes,No,"980  
        km/s",C2
8/1/2001,2001,8,1,3:15,10:45,7:30,32,9415,S20W90,"C2/N/A  
        04/18 0314",Yes,No,"2465  
        km/s",C2
8/2/2001,2001,8,2,19:00,2:00,7:00,57,9433,N17W23,"M7/2N  
        04/26 1312",Yes,Yes,"1006  
        km/s",C2
6/1/2001,2001,6,1,17:50,5:50,12:00,26,N/A,N00W115,N/A,Yes,Yes,"1701  
        km/s",C2
6/1/2001,2001,6,1,1:35,11:50,10:15,493,N/A,S20W180,N/A,No,No,"1575  
        km/s",C2
5/2/2001,2001,5,2,9:25,22:35,13:10,"12,900",9632,S16E23,"X2/2B  
        09/24 1038",No,Yes,"2402  
        km/s",C2EIT
